Year,Level,Name,Image,Link
2016,Diamond,Paloalto Networks,PaloAlto-2016.png,https://www.paloaltonetworks.com/
2016,Platinum,Fortinet,Fortinet-2016.png,https://www.fortinet.com/
2016,Platinum,Zscaler,Zscaler-2016.png,https://www.zscaler.com/
2016,Platinum,Intel Security,IntelSecurity-2016.png,http://www.intelsecurity.com/
2016,Platinum,Meridian IT,MeridianIT-2016.png,http://www.meridianitinc.com/
2016,Platinum,e+,ePlus-2016.png,http://www.eplus.com/
2016,Platinum,Symantec,Symantec-2016.png,https://www.symantec.com/
2016,Platinum,Brite,Brite-2016.png,http://britecomputers.com/
2016,Platinum,Gemalto,Gemalto-2016.png,http://www.gemalto.com/
2016,Platinum,Sirius Computer Solutions,Sirius-2016.png,http://www.siriuscom.com/
2016,Platinum,Forsythe FireEye,Forsythe-FireEye-2016.png,https://www.forsythe.com/
2016,Gold,Forcepoint,ForcePoint-2016.png,https://www.forcepoint.com/
2016,Gold,Rolta AdvizeX,RoltaAdvize-2016.png,http://www.advizex.com/
2016,Gold,CrowdStrike,CrowdStrike-2016.png,https://www.crowdstrike.com/
2016,Gold,Lighthouse Computer Sevices,Lighthouse-2016.png,http://www.lighthousecs.com/
2016,Gold,GreyCastle Security,GreyCastle-2016.png,https://www.greycastlesecurity.com/
2016,Gold,Cyberark,CyberArk-2016.png,http://www.cyberark.com/
2016,Gold,TAG Solutions,TAG-2016.png,http://tagsolutions.com/
2016,Silver,IV4,IV4-2016.png,http://www.iv4.com/
2016,Silver,SMP,SMP-2016.png,http://www.smp-corp.com/
2016,Silver,Rapid7,Rapid7-2016.png,https://www.rapid7.com/
2016,Silver,Anomali,Anomali-2016.png,https://www.anomali.com/
2016,Silver,iSecure,iSecure-2016.png,https://isecurenet.net/
2016,Bronze,Secure Network,SecureNetworks-2016.png,http://www.securenetworkinc.com/
2016,Bronze,Proofpoint,Proofpoint-2016.png,https://www.proofpoint.com/
2016,In-Kind Sponsors,"Durkee Consulting, Inc.",DCI.png,http://www.rd1.net/
2016,In-Kind Sponsors,FreedMaxick,freedmaxick-2016.png,http://www.freedmaxick.com/
2016,In-Kind Sponsors,University of Rochester,UofR.png,http://www.rochester.edu/
2016,In-Kind Sponsors,Rochester Institute of Technology,RIT.png,http://www.rit.edu/
2016,Partners,ISSA Rochester Chapter,RocISSA.png,https://www.rocissa.org/
2016,Partners,OWASP,OWASP.png,https://www.owasp.org/
2016,Partners,Infragard,InfraGard.png,https://www.infragard.org/
2016,Partners,ISACA Western New York Chapter,ISACA.png,http://www.isacawny.org/
