Year,Level,Name,Image,Link
2023,Diamond,"Just Solutions, Inc.",Just Solutions_2023_Platinum_Updated.png,https://www.justinc.com/
2023,Platinum,Check Point,checkpoint_2023_platinum.png,https://www.checkpoint.com/
2023,Platinum,Abnormal Security,Abnormal_2023_platinum.png,https://www.abnormalsecurity.com/
2023,Platinum,GuidePoint,GuidePoint_2023_Platinum.png,https://www.guidepointsecurity.com/
2023,Platinum,"Island Technology, Inc.",Island_2023_platinum.png,https://www.island.io/
2023,Gold,SailPoint,SailPoint_2023_Gold.png,https://www.sailpoint.com/
2023,Gold,Thales,Thales_2023_Gold.png,https://cpl.thalesgroup.com/
2023,Silver,Optiv,optiv_2023_silver.png,https://www.optiv.com/
2023,Silver,Cribl,cribl_2023_silver.png,https://www.cribl.io/
2023,Silver,"Vandis, Inc.",Vandis_2023_Silver.png,http://www.vandis.com/
2023,Silver,CyFlare,Cyflare_2023_Silver.png,https://cyflare.com/
2023,Silver,Tanium,Tanium_2023_Silver.png,https://www.tanium.com/
2023,Partners,ISSA Rochester Chapter,RocISSA-2019.png,https://www.rocissa.org/
2023,Partners,"ISACA Western New York Chapter: Trust in, and value from, information systems",ISACA-2019.png,https://www.isaca.org/chapters11/Western-New-York/Pages/Default.aspx
